ciudad,fecha,nt_30
Cordoba,2000-1,0.0
Cordoba,2000-2,0.0
Cordoba,2000-3,0.0
Cordoba,2000-4,0.0
Cordoba,2000-5,10.0
Cordoba,2000-6,28.0
Cordoba,2000-7,31.0
Cordoba,2000-8,31.0
Cordoba,2000-9,24.0
Cordoba,2000-10,8.0
Cordoba,2000-11,0.0
Cordoba,2000-12,0.0
Cordoba,2000-13,132.0
Cordoba,2001-1,0.0
Cordoba,2001-2,0.0
Cordoba,2001-3,0.0
Cordoba,2001-4,0.0
Cordoba,2001-5,10.0
Cordoba,2001-6,29.0
Cordoba,2001-7,30.0
Cordoba,2001-8,31.0
Cordoba,2001-9,18.0
Cordoba,2001-10,2.0
Cordoba,2001-11,0.0
Cordoba,2001-12,0.0
Cordoba,2001-13,120.0
Cordoba,2002-1,0.0
Cordoba,2002-2,0.0
Cordoba,2002-3,1.0
Cordoba,2002-4,2.0
Cordoba,2002-5,12.0
Cordoba,2002-6,21.0
Cordoba,2002-7,30.0
Cordoba,2002-8,29.0
Cordoba,2002-9,13.0
Cordoba,2002-10,0.0
Cordoba,2002-11,0.0
Cordoba,2002-12,0.0
Cordoba,2002-13,108.0
Cordoba,2003-1,0.0
Cordoba,2003-2,0.0
Cordoba,2003-3,0.0
Cordoba,2003-4,0.0
Cordoba,2003-5,19.0
Cordoba,2003-6,27.0
Cordoba,2003-7,31.0
Cordoba,2003-8,31.0
Cordoba,2003-9,28.0
Cordoba,2003-10,0.0
Cordoba,2003-11,0.0
Cordoba,2003-12,0.0
Cordoba,2003-13,136.0
Cordoba,2004-1,0.0
Cordoba,2004-2,0.0
Cordoba,2004-3,0.0
Cordoba,2004-4,0.0
Cordoba,2004-5,3.0
Cordoba,2004-6,28.0
Cordoba,2004-7,31.0
Cordoba,2004-8,30.0
Cordoba,2004-9,27.0
Cordoba,2004-10,8.0
Cordoba,2004-11,0.0
Cordoba,2004-12,0.0
Cordoba,2004-13,127.0
Cordoba,2005-1,0.0
Cordoba,2005-2,0.0
Cordoba,2005-3,0.0
Cordoba,2005-4,4.0
Cordoba,2005-5,18.0
Cordoba,2005-6,29.0
Cordoba,2005-7,31.0
Cordoba,2005-8,31.0
Cordoba,2005-9,24.0
Cordoba,2005-10,5.0
Cordoba,2005-11,0.0
Cordoba,2005-12,0.0
Cordoba,2005-13,142.0
Cordoba,2006-1,0.0
Cordoba,2006-2,0.0
Cordoba,2006-3,0.0
Cordoba,2006-4,1.0
Cordoba,2006-5,16.0
Cordoba,2006-6,27.0
Cordoba,2006-7,31.0
Cordoba,2006-8,27.0
Cordoba,2006-9,19.0
Cordoba,2006-10,7.0
Cordoba,2006-11,0.0
Cordoba,2006-12,0.0
Cordoba,2006-13,128.0
Cordoba,2007-1,0.0
Cordoba,2007-2,0.0
Cordoba,2007-3,0.0
Cordoba,2007-4,1.0
Cordoba,2007-5,8.0
Cordoba,2007-6,20.0
Cordoba,2007-7,31.0
Cordoba,2007-8,31.0
Cordoba,2007-9,22.0
Cordoba,2007-10,5.0
Cordoba,2007-11,0.0
Cordoba,2007-12,0.0
Cordoba,2007-13,118.0
Cordoba,2008-1,0.0
Cordoba,2008-2,0.0
Cordoba,2008-3,0.0
Cordoba,2008-4,6.0
Cordoba,2008-5,5.0
Cordoba,2008-6,24.0
Cordoba,2008-7,31.0
Cordoba,2008-8,31.0
Cordoba,2008-9,15.0
Cordoba,2008-10,0.0
Cordoba,2008-11,0.0
Cordoba,2008-12,0.0
Cordoba,2008-13,112.0
Cordoba,2009-1,0.0
Cordoba,2009-2,0.0
Cordoba,2009-3,0.0
Cordoba,2009-4,0.0
Cordoba,2009-5,16.0
Cordoba,2009-6,22.0
Cordoba,2009-7,31.0
Cordoba,2009-8,31.0
Cordoba,2009-9,15.0
Cordoba,2009-10,13.0
Cordoba,2009-11,0.0
Cordoba,2009-12,0.0
Cordoba,2009-13,128.0
Cordoba,2010-1,0.0
Cordoba,2010-2,0.0
Cordoba,2010-3,0.0
Cordoba,2010-4,3.0
Cordoba,2010-5,11.0
Cordoba,2010-6,17.0
Cordoba,2010-7,30.0
Cordoba,2010-8,30.0
Cordoba,2010-9,19.0
Cordoba,2010-10,0.0
Cordoba,2010-11,0.0
Cordoba,2010-12,0.0
Cordoba,2010-13,110.0
Cordoba,2011-1,0.0
Cordoba,2011-2,0.0
Cordoba,2011-3,0.0
Cordoba,2011-4,4.0
Cordoba,2011-5,12.0
Cordoba,2011-6,23.0
Cordoba,2011-7,30.0
Cordoba,2011-8,30.0
Cordoba,2011-9,24.0
Cordoba,2011-10,13.0
Cordoba,2011-11,0.0
Cordoba,2011-12,0.0
Cordoba,2011-13,136.0
Cordoba,2012-1,0.0
Cordoba,2012-2,0.0
Cordoba,2012-3,0.0
Cordoba,2012-4,0.0
Cordoba,2012-5,19.0
Cordoba,2012-6,29.0
Cordoba,2012-7,31.0
Cordoba,2012-8,31.0
Cordoba,2012-9,22.0
Cordoba,2012-10,5.0
Cordoba,2012-11,0.0
Cordoba,2012-12,
Cordoba,2012-13,
Cordoba,2013-1,0.0
Cordoba,2013-2,0.0
Cordoba,2013-3,0.0
Cordoba,2013-4,4.0
Cordoba,2013-5,10.0
Cordoba,2013-6,22.0
Cordoba,2013-7,30.0
Cordoba,2013-8,30.0
Cordoba,2013-9,24.0
Cordoba,2013-10,10.0
Cordoba,2013-11,0.0
Cordoba,2013-12,0.0
Cordoba,2013-13,130.0
Cordoba,2014-1,0.0
Cordoba,2014-2,0.0
Cordoba,2014-3,0.0
Cordoba,2014-4,6.0
Cordoba,2014-5,21.0
Cordoba,2014-6,27.0
Cordoba,2014-7,30.0
Cordoba,2014-8,30.0
Cordoba,2014-9,20.0
Cordoba,2014-10,9.0
Cordoba,2014-11,0.0
Cordoba,2014-12,0.0
Cordoba,2014-13,143.0
Cordoba,2015-1,0.0
Cordoba,2015-2,0.0
Cordoba,2015-3,1.0
Cordoba,2015-4,2.0
Cordoba,2015-5,27.0
Cordoba,2015-6,25.0
Cordoba,2015-7,31.0
Cordoba,2015-8,31.0
Cordoba,2015-9,19.0
Cordoba,2015-10,3.0
Cordoba,2015-11,0.0
Cordoba,2015-12,0.0
Cordoba,2015-13,139.0
Cordoba,2016-1,0.0
Cordoba,2016-2,0.0
Cordoba,2016-3,0.0
Cordoba,2016-4,0.0
Cordoba,2016-5,9.0
Cordoba,2016-6,26.0
Cordoba,2016-7,
Cordoba,2016-8,
Cordoba,2016-9,26.0
Cordoba,2016-10,10.0
Cordoba,2016-11,0.0
Cordoba,2016-12,0.0
Cordoba,2016-13,
Cordoba,2017-1,0.0
Cordoba,2017-2,0.0
Cordoba,2017-3,0.0
Cordoba,2017-4,6.0
Cordoba,2017-5,15.0
Cordoba,2017-6,30.0
Cordoba,2017-7,30.0
Cordoba,2017-8,28.0
Cordoba,2017-9,28.0
Cordoba,2017-10,20.0
Cordoba,2017-11,0.0
Cordoba,2017-12,0.0
Cordoba,2017-13,157.0
Cordoba,2018-1,0.0
Cordoba,2018-2,0.0
Cordoba,2018-3,0.0
Cordoba,2018-4,0.0
Cordoba,2018-5,2.0
Cordoba,2018-6,19.0
Cordoba,2018-7,29.0
Cordoba,2018-8,31.0
Cordoba,2018-9,29.0
Cordoba,2018-10,9.0
Cordoba,2018-11,0.0
Cordoba,2018-12,0.0
Cordoba,2018-13,119.0
Cordoba,2019-1,0.0
Cordoba,2019-2,0.0
Cordoba,2019-3,0.0
Cordoba,2019-4,2.0
Cordoba,2019-5,20.0
Cordoba,2019-6,26.0
Cordoba,2019-7,31.0
Cordoba,2019-8,29.0
Cordoba,2019-9,22.0
Cordoba,2019-10,13.0
Cordoba,2019-11,0.0
Cordoba,2019-12,0.0
Cordoba,2019-13,143.0
Cordoba,2020-1,0.0
Cordoba,2020-2,0.0
Cordoba,2020-3,0.0
Cordoba,2020-4,0.0
Cordoba,2020-5,20.0
Cordoba,2020-6,24.0
Cordoba,2020-7,31.0
Cordoba,2020-8,31.0
Cordoba,2020-9,21.0
Cordoba,2020-10,5.0
Cordoba,2020-11,0.0
Cordoba,2020-12,0.0
Cordoba,2020-13,132.0
